step,loss,lr
50,10.836178,0.001225
100,6.911739,0.002475
150,4.029478,0.003725
200,3.860963,0.004975
250,3.785938,0.006225
300,3.188283,0.007475
350,3.568461,0.008725
400,3.432174,0.009975
450,3.272727,0.011225
500,4.327543,0.012475
550,3.395485,0.013725
600,2.755561,0.014975
650,2.303402,0.016225
700,2.036697,0.017475
750,1.854752,0.018725
800,1.744048,0.019975
850,1.675055,0.021225
900,1.619910,0.022475
950,1.553171,0.023725
1000,1.538253,0.024975
1050,1.531317,0.025000
1100,1.524639,0.025000
1150,1.526855,0.025000
1200,1.509519,0.025000
1250,1.505934,0.025000
1300,1.496359,0.025000
1350,1.498442,0.025000
1400,1.457252,0.025000
1450,1.450926,0.025000
1500,1.446315,0.025000
1550,1.447007,0.025000
1600,1.452550,0.025000
1650,1.450714,0.025000
1700,1.449238,0.025000
1750,1.446979,0.025000
1800,1.454963,0.025000
1850,1.431655,0.025000
1900,1.429385,0.025000
1950,1.427039,0.025000
2000,1.431435,0.025000
2050,1.429615,0.025000
2100,1.442564,0.025000
2150,1.439474,0.025000
2200,1.440274,0.025000
2250,1.437460,0.025000
2300,1.417986,0.025000
2350,1.417816,0.025000
2400,1.420006,0.025000
2450,1.419597,0.025000
2500,1.418495,0.025000
2550,1.432381,0.025000
2600,1.435348,0.025000
2650,1.432887,0.025000
2700,1.441233,0.025000
2750,1.421852,0.025000
2800,1.407664,0.025000
2850,1.418476,0.025000
2900,1.414917,0.025000
2950,1.424628,0.025000
3000,1.429127,0.025000
3050,1.428379,0.025000
3100,1.438956,0.025000
3150,1.439320,0.025000
3200,1.423269,0.025000
3250,1.402451,0.025000
3300,1.409989,0.025000
3350,1.419022,0.025000
3400,1.419935,0.025000
3450,1.430995,0.025000
3500,1.427677,0.025000
3550,1.432741,0.025000
3600,1.435061,0.025000
3650,1.434907,0.025000
3700,1.401081,0.025000
3750,1.416309,0.025000
3800,1.421221,0.025000
3850,1.414978,0.025000
3900,1.426684,0.024999
3950,1.430450,0.024999
4000,1.433498,0.024999
4050,1.437946,0.024999
4100,1.433494,0.024999
4150,1.407578,0.024999
4200,1.418235,0.024999
4250,1.416151,0.024999
4300,1.426589,0.024999
4350,1.435093,0.024999
4400,1.437878,0.024999
4450,1.439186,0.024999
4500,1.432031,0.024999
4550,1.432548,0.024999
4600,1.410749,0.024999
4650,1.418999,0.024999
4700,1.417184,0.024999
4750,1.413572,0.024999
4800,1.431855,0.024999
4850,1.432998,0.024999
4900,1.444104,0.024999
4950,1.437230,0.024999
5000,1.433715,0.024999
5000,0.083535,0.285628,0.202093
5050,1.422353,0.024999
5100,1.416638,0.024999
5150,1.424478,0.024999
5200,1.426416,0.024999
5250,1.430773,0.024999
5300,1.432810,0.024999
5350,1.442896,0.024999
5400,1.444354,0.024999
5450,1.434532,0.024999
5500,1.416234,0.024999
5550,1.417481,0.024999
5600,1.420369,0.024999
5650,1.425154,0.024999
5700,1.437565,0.024999
5750,1.436441,0.024999
5800,1.430533,0.024999
5850,1.434852,0.024999
5900,1.441825,0.024999
5950,1.418666,0.024998
6000,1.422308,0.024998
6050,1.427105,0.024998
6100,1.428009,0.024998
6150,1.425263,0.024998
6200,1.433494,0.024998
6250,1.439463,0.024998
6300,1.440861,0.024998
6350,1.445117,0.024998
6400,1.421738,0.024998
6450,1.424763,0.024998
6500,1.420956,0.024998
6550,1.428605,0.024998
6600,1.428859,0.024998
6650,1.426212,0.024998
6700,1.430681,0.024998
6750,1.441736,0.024998
6800,1.437568,0.024998
6850,1.425371,0.024998
6900,1.411944,0.024998
6950,1.425820,0.024998
7000,1.430687,0.024998
7050,1.425317,0.024998
7100,1.436715,0.024998
7150,1.441937,0.024998
7200,1.436029,0.024998
7250,1.441364,0.024998
7300,1.433118,0.024998
7350,1.416890,0.024998
7400,1.425151,0.024997
7450,1.427984,0.024997
7500,1.432015,0.024997
7550,1.430942,0.024997
7600,1.435695,0.024997
7650,1.438260,0.024997
7700,1.448589,0.024997
7750,1.429162,0.024997
7800,1.413318,0.024997
7850,1.424008,0.024997
7900,1.416614,0.024997
7950,1.434478,0.024997
8000,1.430661,0.024997
8050,1.430556,0.024997
8100,1.448167,0.024997
8150,1.443855,0.024997
8200,1.432209,0.024997
8250,1.417382,0.024997
8300,1.427074,0.024997
8350,1.425583,0.024997
8400,1.434675,0.024997
8450,1.435250,0.024997
8500,1.428912,0.024997
8550,1.427592,0.024996
8600,1.439546,0.024996
8650,1.433787,0.024996
8700,1.413328,0.024996
8750,1.418331,0.024996
8800,1.417325,0.024996
8850,1.425347,0.024996
8900,1.431398,0.024996
8950,1.430912,0.024996
9000,1.427728,0.024996
9050,1.429467,0.024996
9100,1.445377,0.024996
9150,1.407431,0.024996
9200,1.412517,0.024996
9250,1.426352,0.024996
9300,1.421841,0.024996
9350,1.430549,0.024996
9400,1.429906,0.024996
9450,1.426825,0.024996
9500,1.435164,0.024996
9550,1.444051,0.024996
9600,1.418419,0.024995
9650,1.415044,0.024995
9700,1.410737,0.024995
9750,1.429021,0.024995
9800,1.428872,0.024995
9850,1.430908,0.024995
9900,1.437462,0.024995
9950,1.426764,0.024995
10000,1.434333,0.024995
10000,0.048214,0.235360,0.187146
10050,1.416932,0.024995
10100,1.419193,0.024995
10150,1.420409,0.024995
10200,1.417539,0.024995
10250,1.426069,0.024995
10300,1.433688,0.024995
10350,1.426474,0.024995
10400,1.430512,0.024995
10450,1.439942,0.024995
10500,1.413948,0.024994
10550,1.410027,0.024994
10600,1.419742,0.024994
10650,1.423299,0.024994
10700,1.422432,0.024994
10750,1.418996,0.024994
10800,1.425433,0.024994
10850,1.436558,0.024994
10900,1.429821,0.024994
10950,1.413251,0.024994
11000,1.414076,0.024994
11050,1.415508,0.024994
11100,1.423416,0.024994
11150,1.420483,0.024994
11200,1.425730,0.024994
11250,1.432655,0.024994
11300,1.426788,0.024993
11350,1.444869,0.024993
11400,1.415231,0.024993
11450,1.413446,0.024993
11500,1.414576,0.024993
11550,1.424363,0.024993
11600,1.419904,0.024993
11650,1.428201,0.024993
