timestamp,step,recon_loss,para_sim,neg_sim,word_order_sim,lr,elapsed_hours
2026-03-06T15:57:02.966672,500,4.305863,0.5780,0.7544,0.9025,7.500000e-05,0.0619
2026-03-06T15:59:47.481670,1000,3.598067,0.5737,0.7320,0.9420,1.500000e-04,0.1076
2026-03-06T16:02:29.819182,1500,3.224517,0.4823,0.7767,0.9573,2.250000e-04,0.1527
2026-03-06T16:05:09.233180,2000,3.031099,0.2049,0.5629,0.3390,3.000000e-04,0.1970
2026-03-06T16:07:53.106905,2500,3.051493,0.5242,0.0054,0.6487,2.999953e-04,0.2425
2026-03-06T16:10:32.110345,3000,3.026583,0.6630,0.6697,0.9453,2.999812e-04,0.2867
2026-03-06T16:13:13.475667,3500,2.973341,0.5866,0.4627,0.8860,2.999576e-04,0.3315
