timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,tokens_billions,elapsed_hours,val_loss
2026-02-20T15:32:40.429511,10300,3.844973,46.76,2.000000e-04,25953,253132800,0.2531,2.7093,
2026-02-20T15:33:25.871434,10350,3.874426,48.16,2.000000e-04,25958,254361600,0.2544,2.7219,
2026-02-20T15:34:10.591544,10400,3.928514,50.83,2.000000e-04,25965,255590400,0.2556,2.7343,
2026-02-20T15:34:55.276526,10450,3.960289,52.47,2.000000e-04,25972,256819200,0.2568,2.7467,
2026-02-20T15:35:40.137258,10500,3.927333,50.77,2.000000e-04,25979,258048000,0.2580,2.7592,
2026-02-20T15:35:41.295198,10500,3.927333,50.77,2.000000e-04,25975,258048000,0.2580,2.7595,3.810780
2026-02-20T15:36:29.497721,10550,3.916481,50.22,2.000000e-04,25973,259276800,0.2593,2.7729,
2026-02-20T15:37:14.347586,10600,3.906741,49.74,2.000000e-04,25980,260505600,0.2605,2.7854,
2026-02-20T15:37:59.308341,10650,3.877010,48.28,2.000000e-04,25986,261734400,0.2617,2.7979,
2026-02-20T15:38:44.131397,10700,3.871004,47.99,2.000000e-04,25992,262963200,0.2630,2.8103,
2026-02-20T15:39:29.699600,10750,3.866549,47.78,2.000000e-04,25996,264192000,0.2642,2.8230,
2026-02-20T15:40:14.651806,10800,3.882996,48.57,2.000000e-04,26002,265420800,0.2654,2.8355,
2026-02-20T15:40:59.576482,10850,3.895348,49.17,2.000000e-04,26008,266649600,0.2666,2.8479,
2026-02-20T15:41:44.476422,10900,3.862743,47.60,2.000000e-04,26014,267878400,0.2679,2.8604,
2026-02-20T15:42:30.132934,10950,3.888610,48.84,2.000000e-04,26018,269107200,0.2691,2.8731,
2026-02-20T15:43:14.919090,11000,3.897725,49.29,2.000000e-04,26024,270336000,0.2703,2.8855,
2026-02-20T15:43:16.077361,11000,3.897725,49.29,2.000000e-04,26021,270336000,0.2703,2.8859,3.793328
2026-02-20T15:44:39.732256,11050,3.868785,47.88,2.000000e-04,25931,271564800,0.2716,2.9091,
2026-02-20T15:45:24.246461,11100,3.885320,48.68,2.000000e-04,25938,272793600,0.2728,2.9215,
2026-02-20T15:46:08.951477,11150,3.877943,48.32,2.000000e-04,25944,274022400,0.2740,2.9339,
2026-02-20T15:46:53.730706,11200,3.886625,48.75,2.000000e-04,25951,275251200,0.2753,2.9463,
2026-02-20T15:47:38.528896,11250,3.882200,48.53,2.000000e-04,25957,276480000,0.2765,2.9588,
2026-02-20T15:48:23.377625,11300,3.881476,48.50,2.000000e-04,25963,277708800,0.2777,2.9712,
2026-02-20T15:49:09.024292,11350,3.872478,48.06,2.000000e-04,25967,278937600,0.2789,2.9839,
2026-02-20T15:49:53.930116,11400,3.870584,47.97,2.000000e-04,25973,280166400,0.2802,2.9964,
2026-02-20T15:50:38.801284,11450,3.891820,49.00,2.000000e-04,25979,281395200,0.2814,3.0088,
2026-02-20T15:51:23.683109,11500,3.881552,48.50,2.000000e-04,25984,282624000,0.2826,3.0213,
2026-02-20T15:51:24.837691,11500,3.881552,48.50,2.000000e-04,25982,282624000,0.2826,3.0216,3.772602
2026-02-20T15:52:11.889247,11550,3.854503,47.21,2.000000e-04,25982,283852800,0.2839,3.0347,
2026-02-20T15:52:58.470703,11600,3.826918,45.92,2.000000e-04,25984,285081600,0.2851,3.0476,
2026-02-20T15:53:43.466183,11650,3.813599,45.31,2.000000e-04,25989,286310400,0.2863,3.0601,
2026-02-20T15:54:28.549381,11700,3.774867,43.59,2.000000e-04,25994,287539200,0.2875,3.0727,
2026-02-20T15:55:13.441677,11750,3.763493,43.10,2.000000e-04,26000,288768000,0.2888,3.0851,
2026-02-20T15:55:58.980303,11800,3.743713,42.25,2.000000e-04,26004,289996800,0.2900,3.0978,
2026-02-20T15:56:43.860430,11850,3.755234,42.74,2.000000e-04,26010,291225600,0.2912,3.1102,
2026-02-20T15:57:28.890341,11900,3.823402,45.76,2.000000e-04,26015,292454400,0.2925,3.1227,
2026-02-20T15:58:14.039696,11950,3.839591,46.51,2.000000e-04,26020,293683200,0.2937,3.1353,
2026-02-20T15:58:59.018071,12000,3.811226,45.21,2.000000e-04,26025,294912000,0.2949,3.1478,
2026-02-20T15:59:00.174337,12000,3.811226,45.21,2.000000e-04,26022,294912000,0.2949,3.1481,3.762097
2026-02-20T16:00:23.157545,12050,3.786015,44.08,2.000000e-04,25941,296140800,0.2961,3.1712,
2026-02-20T16:01:07.614996,12100,3.803870,44.87,2.000000e-04,25947,297369600,0.2974,3.1835,
2026-02-20T16:01:52.164455,12150,3.836944,46.38,2.000000e-04,25953,298598400,0.2986,3.1959,
2026-02-20T16:02:37.896604,12200,3.882394,48.54,2.000000e-04,25957,299827200,0.2998,3.2086,
2026-02-20T16:03:22.482200,12250,3.871684,48.02,2.000000e-04,25963,301056000,0.3011,3.2210,
2026-02-20T16:04:07.108199,12300,3.820828,45.64,2.000000e-04,25969,302284800,0.3023,3.2334,
2026-02-20T16:04:52.031827,12350,3.803490,44.86,2.000000e-04,25975,303513600,0.3035,3.2458,
2026-02-20T16:05:37.679596,12400,3.846191,46.81,2.000000e-04,25978,304742400,0.3047,3.2585,
2026-02-20T16:06:22.326785,12450,3.873661,48.12,2.000000e-04,25984,305971200,0.3060,3.2709,
2026-02-20T16:07:07.136451,12500,3.871026,47.99,2.000000e-04,25990,307200000,0.3072,3.2834,
2026-02-20T16:07:08.310082,12500,3.871026,47.99,2.000000e-04,25987,307200000,0.3072,3.2837,3.730691
2026-02-20T16:07:56.460618,12550,3.858749,47.41,2.000000e-04,25985,308428800,0.3084,3.2971,
2026-02-20T16:08:40.988391,12600,3.817278,45.48,2.000000e-04,25991,309657600,0.3097,3.3094,
2026-02-20T16:09:25.780881,12650,3.820367,45.62,2.000000e-04,25996,310886400,0.3109,3.3219,
2026-02-20T16:10:10.415805,12700,3.817684,45.50,2.000000e-04,26002,312115200,0.3121,3.3343,
2026-02-20T16:10:55.226009,12750,3.829219,46.03,2.000000e-04,26007,313344000,0.3133,3.3467,
2026-02-20T16:11:40.721083,12800,3.863489,47.63,2.000000e-04,26011,314572800,0.3146,3.3594,
2026-02-20T16:12:25.644925,12850,3.811745,45.23,2.000000e-04,26016,315801600,0.3158,3.3718,
2026-02-20T16:13:10.493522,12900,3.806352,44.99,2.000000e-04,26021,317030400,0.3170,3.3843,
2026-02-20T16:13:55.250290,12950,3.813341,45.30,2.000000e-04,26027,318259200,0.3183,3.3967,
2026-02-20T16:14:40.857773,13000,3.774862,43.59,2.000000e-04,26030,319488000,0.3195,3.4094,
