timestamp,step,recon_loss,pos_sim,neg_sim,wo_sim,eff_rank,lr,elapsed_hours
2026-03-09T07:40:39.114520,500,27.498544,0.5480,0.9415,0.9960,9,7.500000e-05,0.0755
2026-03-09T07:45:01.859418,1000,22.315683,0.6549,0.8331,0.9864,12,1.500000e-04,0.1485
2026-03-09T07:49:23.278514,1500,19.650054,0.6363,0.7328,0.9912,12,2.250000e-04,0.2211
2026-03-09T07:53:44.398209,2000,18.086670,0.6111,0.7617,0.9732,13,3.000000e-04,0.2937
2026-03-09T07:58:08.194135,2500,16.739712,0.5859,0.6794,0.9534,15,2.999953e-04,0.3669
2026-03-09T08:02:30.442946,3000,14.393712,0.6726,0.6407,0.9140,34,2.999812e-04,0.4398
2026-03-09T08:06:53.795148,3500,10.998530,0.6909,0.5608,0.9117,61,2.999576e-04,0.5129
2026-03-09T08:11:16.959707,4000,8.859660,0.6485,0.4835,0.8947,75,2.999246e-04,0.5860
2026-03-09T08:15:42.138577,4500,7.583010,0.5995,0.5670,0.8640,84,2.998821e-04,0.6597
2026-03-09T08:20:09.813042,5000,6.853673,0.6339,0.6362,0.8304,84,2.998302e-04,0.7340
2026-03-09T08:24:33.108194,5500,6.279575,0.6681,0.6754,0.8727,88,2.997689e-04,0.8072
2026-03-09T08:28:55.404942,6000,5.969577,0.6013,0.6140,0.8675,87,2.996982e-04,0.8800
2026-03-09T08:33:17.004244,6500,5.632599,0.7753,0.7110,0.9165,85,2.996180e-04,0.9527
2026-03-09T08:37:41.279528,7000,7.079498,0.8865,0.8671,0.9267,85,2.995284e-04,1.0261
2026-03-09T08:42:02.875944,7500,6.769249,0.8839,0.7224,0.9420,79,2.994294e-04,1.0988
2026-03-09T08:46:23.818706,8000,7.417943,0.8137,0.6992,0.9338,73,2.993210e-04,1.1713
2026-03-09T08:50:47.377222,8500,7.131378,0.8413,0.7081,0.9199,72,2.992032e-04,1.2445
2026-03-09T08:55:09.217319,9000,7.518255,0.8639,0.6644,0.9439,67,2.990760e-04,1.3172
2026-03-09T08:59:31.645264,9500,7.511375,0.8502,0.7100,0.9560,64,2.989395e-04,1.3901
2026-03-09T09:03:53.054360,10000,7.857915,0.8197,0.6990,0.9434,58,2.987935e-04,1.4627
2026-03-09T09:08:17.638440,10500,7.707770,0.8652,0.7969,0.9542,57,2.986382e-04,1.5362
2026-03-09T09:12:39.703199,11000,7.695787,0.8503,0.7242,0.9443,54,2.984736e-04,1.6090
2026-03-09T09:17:01.344505,11500,7.771539,0.8241,0.7003,0.9309,47,2.982995e-04,1.6817
2026-03-09T09:21:24.965384,12000,7.858970,0.8792,0.7699,0.9219,47,2.981162e-04,1.7549
2026-03-09T09:25:49.242706,12500,7.985381,0.9066,0.7815,0.9292,44,2.979235e-04,1.8283
2026-03-09T09:30:13.009915,13000,8.025599,0.8709,0.7443,0.9458,46,2.977216e-04,1.9016
2026-03-09T09:34:34.773702,13500,8.140511,0.8476,0.7254,0.9410,40,2.975103e-04,1.9743
2026-03-09T09:38:57.645719,14000,7.724878,0.8602,0.7645,0.8943,44,2.972898e-04,2.0473
2026-03-09T09:43:20.542153,14500,7.756570,0.9030,0.7364,0.9495,46,2.970599e-04,2.1204
2026-03-09T09:47:43.428002,15000,7.720689,0.8689,0.6899,0.9573,44,2.968209e-04,2.1934
2026-03-09T09:52:07.838344,15500,8.113015,0.8909,0.8168,0.9372,43,2.965725e-04,2.2668
2026-03-09T09:56:29.558690,16000,7.868802,0.8608,0.7560,0.8961,42,2.963150e-04,2.3395
2026-03-09T10:00:53.484691,16500,7.836842,0.8532,0.7308,0.8852,41,2.960482e-04,2.4128
2026-03-09T10:05:15.958069,17000,7.588331,0.8173,0.7809,0.9105,40,2.957723e-04,2.4858
2026-03-09T10:09:39.984422,17500,7.600176,0.8633,0.7183,0.9063,37,2.954872e-04,2.5591
2026-03-09T10:14:01.952088,18000,7.876745,0.8648,0.6947,0.8297,41,2.951929e-04,2.6319
2026-03-09T10:18:25.074506,18500,7.781683,0.8444,0.7234,0.9233,40,2.948895e-04,2.7050
2026-03-09T10:22:47.115621,19000,7.561459,0.8568,0.7794,0.8631,37,2.945770e-04,2.7777
2026-03-09T10:27:11.146795,19500,7.379647,0.8366,0.7074,0.9165,36,2.942553e-04,2.8511
2026-03-09T10:31:33.919391,20000,7.676817,0.8886,0.7060,0.9124,38,2.939246e-04,2.9241
2026-03-09T10:35:59.653776,20500,7.715910,0.8549,0.7350,0.8717,38,2.935848e-04,2.9979
2026-03-09T10:40:22.764817,21000,7.432180,0.8842,0.6844,0.9346,37,2.932360e-04,3.0710
2026-03-09T10:44:45.642766,21500,7.753540,0.8914,0.7953,0.8402,38,2.928782e-04,3.1440
2026-03-09T10:49:08.301338,22000,7.829026,0.9010,0.7291,0.8448,39,2.925114e-04,3.2170
