timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,elapsed_hours
2026-02-26T20:09:21.971545,2900,1.831919,6.25,4.959168e-05,27104,71270400,0.7304
2026-02-26T20:10:06.772523,2950,1.806550,6.09,4.957454e-05,27110,72499200,0.7429
2026-02-26T20:10:51.088628,3000,1.821548,6.18,4.955704e-05,27120,73728000,0.7552
2026-02-26T20:11:47.429814,3050,1.816380,6.15,4.953920e-05,27012,74956800,0.7708
2026-02-26T20:12:31.944091,3100,1.796170,6.03,4.952101e-05,27021,76185600,0.7832
2026-02-26T20:13:16.627544,3150,1.843518,6.32,4.950247e-05,27029,77414400,0.7956
2026-02-26T20:14:01.348053,3200,1.876196,6.53,4.948359e-05,27036,78643200,0.8080
2026-02-26T20:14:46.868763,3250,1.843560,6.32,4.946436e-05,27035,79872000,0.8207
2026-02-26T20:15:31.440547,3300,1.830213,6.24,4.944477e-05,27043,81100800,0.8330
2026-02-26T20:16:16.205562,3350,1.831127,6.24,4.942485e-05,27049,82329600,0.8455
2026-02-26T20:17:01.177556,3400,1.815155,6.14,4.940457e-05,27053,83558400,0.8580
2026-02-26T20:17:46.021589,3450,1.801057,6.06,4.938395e-05,27058,84787200,0.8704
2026-02-26T20:18:30.993517,3500,1.813920,6.13,4.936298e-05,27062,86016000,0.8829
2026-02-26T20:19:15.479489,3550,1.858003,6.41,4.934167e-05,27069,87244800,0.8953
2026-02-26T20:19:59.986966,3600,1.833723,6.26,4.932001e-05,27077,88473600,0.9076
2026-02-26T20:20:44.537196,3650,1.773208,5.89,4.929801e-05,27084,89702400,0.9200
2026-02-26T20:21:29.269250,3700,1.789016,5.98,4.927566e-05,27089,90931200,0.9324
2026-02-26T20:22:13.820222,3750,1.795360,6.02,4.925297e-05,27095,92160000,0.9448
2026-02-26T20:22:57.305464,3800,1.785519,5.96,4.922993e-05,27110,93388800,0.9569
2026-02-26T20:23:40.883368,3850,1.824248,6.20,4.920655e-05,27124,94617600,0.9690
2026-02-26T20:24:24.403470,3900,1.812976,6.13,4.918283e-05,27137,95846400,0.9811
2026-02-26T20:25:07.936879,3950,1.780335,5.93,4.915876e-05,27150,97075200,0.9932
2026-02-26T20:25:51.501771,4000,1.790250,5.99,4.913435e-05,27163,98304000,1.0053
2026-02-26T20:26:45.141886,4050,1.782488,5.94,4.910960e-05,27101,99532800,1.0202
2026-02-26T20:27:28.807910,4100,1.788704,5.98,4.908451e-05,27113,100761600,1.0323
2026-02-26T20:28:13.172939,4150,1.772923,5.89,4.905907e-05,27120,101990400,1.0446
2026-02-26T20:28:56.660453,4200,1.783907,5.95,4.903330e-05,27133,103219200,1.0567
2026-02-26T20:29:40.246506,4250,1.795068,6.02,4.900718e-05,27145,104448000,1.0688
2026-02-26T20:30:23.738992,4300,1.734773,5.67,4.898073e-05,27158,105676800,1.0809
2026-02-26T20:31:07.245894,4350,1.764302,5.84,4.895393e-05,27170,106905600,1.0930
2026-02-26T20:31:50.846587,4400,1.816305,6.15,4.892680e-05,27181,108134400,1.1051
2026-02-26T20:32:34.311036,4450,1.807462,6.09,4.889932e-05,27192,109363200,1.1172
2026-02-26T20:33:17.827922,4500,1.802687,6.07,4.887151e-05,27204,110592000,1.1293
2026-02-26T20:34:01.308320,4550,1.789410,5.99,4.884336e-05,27215,111820800,1.1413
2026-02-26T20:34:44.790241,4600,1.790825,5.99,4.881488e-05,27226,113049600,1.1534
2026-02-26T20:35:28.314988,4650,1.787075,5.97,4.878605e-05,27236,114278400,1.1655
2026-02-26T20:36:11.829821,4700,1.794718,6.02,4.875689e-05,27246,115507200,1.1776
2026-02-26T20:36:55.355440,4750,1.821071,6.18,4.872739e-05,27256,116736000,1.1897
2026-02-26T20:37:38.902179,4800,1.805199,6.08,4.869756e-05,27266,117964800,1.2018
2026-02-26T20:38:22.455418,4850,1.778751,5.92,4.866739e-05,27276,119193600,1.2139
2026-02-26T20:39:05.925946,4900,1.761707,5.82,4.863689e-05,27285,120422400,1.2260
2026-02-26T20:39:49.462808,4950,1.769007,5.87,4.860605e-05,27295,121651200,1.2380
2026-02-26T20:40:32.986972,5000,1.777576,5.92,4.857488e-05,27304,122880000,1.2501
2026-02-26T20:42:02.826480,5050,1.739425,5.69,4.854338e-05,27037,124108800,1.2751
2026-02-26T20:42:46.354195,5100,1.751912,5.77,4.851154e-05,27048,125337600,1.2872
2026-02-26T20:43:29.813060,5150,1.760608,5.82,4.847937e-05,27060,126566400,1.2993
2026-02-26T20:44:13.328944,5200,1.742639,5.71,4.844687e-05,27070,127795200,1.3113
2026-02-26T20:44:56.851325,5250,1.740892,5.70,4.841404e-05,27081,129024000,1.3234
2026-02-26T20:45:40.333142,5300,1.723434,5.60,4.838087e-05,27092,130252800,1.3355
2026-02-26T20:46:23.790420,5350,1.746930,5.74,4.834738e-05,27102,131481600,1.3476
2026-02-26T20:47:07.234500,5400,1.750264,5.76,4.831356e-05,27113,132710400,1.3597
2026-02-26T20:47:50.747636,5450,1.687023,5.40,4.827941e-05,27123,133939200,1.3717
2026-02-26T20:48:34.253097,5500,1.705871,5.51,4.824492e-05,27133,135168000,1.3838
2026-02-26T20:49:17.744099,5550,1.695530,5.45,4.821012e-05,27142,136396800,1.3959
2026-02-26T20:50:01.315534,5600,1.684283,5.39,4.817498e-05,27151,137625600,1.4080
2026-02-26T20:50:45.302146,5650,1.722154,5.60,4.813952e-05,27158,138854400,1.4202
2026-02-26T20:51:29.953920,5700,1.671367,5.32,4.810373e-05,27161,140083200,1.4326
2026-02-26T20:52:15.061733,5750,1.679905,5.37,4.806761e-05,27162,141312000,1.4452
2026-02-26T20:52:59.489912,5800,1.729825,5.64,4.803117e-05,27166,142540800,1.4575
2026-02-26T20:53:43.855030,5850,1.728408,5.63,4.799441e-05,27171,143769600,1.4698
2026-02-26T20:54:28.381133,5900,1.733865,5.66,4.795732e-05,27174,144998400,1.4822
2026-02-26T20:55:12.973042,5950,1.698208,5.46,4.791990e-05,27177,146227200,1.4946
2026-02-26T20:55:57.470174,6000,1.680586,5.37,4.788217e-05,27181,147456000,1.5069
2026-02-26T20:56:55.773501,6050,1.700161,5.47,4.784411e-05,27116,148684800,1.5231
2026-02-26T20:57:39.464230,6100,1.697584,5.46,4.780573e-05,27124,149913600,1.5353
2026-02-26T20:58:23.122537,6150,1.701397,5.48,4.776703e-05,27132,151142400,1.5474
2026-02-26T20:59:06.701469,6200,1.670875,5.32,4.772801e-05,27140,152371200,1.5595
2026-02-26T20:59:50.218706,6250,1.680725,5.37,4.768866e-05,27149,153600000,1.5716
2026-02-26T21:00:33.739516,6300,1.694791,5.45,4.764900e-05,27157,154828800,1.5837
2026-02-26T21:01:17.255783,6350,1.681456,5.37,4.760902e-05,27165,156057600,1.5958
2026-02-26T21:02:00.812171,6400,1.706599,5.51,4.756873e-05,27173,157286400,1.6079
2026-02-26T21:02:44.313396,6450,1.696400,5.45,4.752811e-05,27181,158515200,1.6200
2026-02-26T21:03:27.778629,6500,1.702132,5.49,4.748718e-05,27189,159744000,1.6320
2026-02-26T21:04:11.929819,6550,1.690699,5.42,4.744593e-05,27194,160972800,1.6443
2026-02-26T21:04:55.455375,6600,1.665035,5.29,4.740437e-05,27201,162201600,1.6564
2026-02-26T21:05:38.979846,6650,1.703594,5.49,4.736249e-05,27209,163430400,1.6685
2026-02-26T21:06:22.412084,6700,1.693581,5.44,4.732030e-05,27217,164659200,1.6805
2026-02-26T21:07:05.914088,6750,1.680550,5.37,4.727780e-05,27224,165888000,1.6926
2026-02-26T21:07:49.395868,6800,1.679874,5.36,4.723498e-05,27231,167116800,1.7047
2026-02-26T21:08:32.889576,6850,1.702099,5.49,4.719185e-05,27239,168345600,1.7168
2026-02-26T21:09:16.343489,6900,1.725992,5.62,4.714841e-05,27246,169574400,1.7288
2026-02-26T21:09:59.843342,6950,1.730038,5.64,4.710465e-05,27253,170803200,1.7409
2026-02-26T21:10:43.612370,7000,1.726938,5.62,4.706059e-05,27259,172032000,1.7531
2026-02-26T21:11:40.450759,7050,1.689756,5.42,4.701622e-05,27208,173260800,1.7689
2026-02-26T21:12:25.373221,7100,1.643828,5.17,4.697154e-05,27209,174489600,1.7814
2026-02-26T21:13:11.155866,7150,1.591654,4.91,4.692655e-05,27207,175718400,1.7941
2026-02-26T21:13:56.056802,7200,1.638373,5.15,4.688125e-05,27208,176947200,1.8065
2026-02-26T21:14:40.929786,7250,1.692408,5.43,4.683565e-05,27209,178176000,1.8190
2026-02-26T21:15:25.753401,7300,1.682620,5.38,4.678975e-05,27210,179404800,1.8315
2026-02-26T21:16:10.854496,7350,1.664273,5.28,4.674353e-05,27211,180633600,1.8440
2026-02-26T21:16:55.888107,7400,1.648689,5.20,4.669702e-05,27211,181862400,1.8565
2026-02-26T21:17:40.868742,7450,1.676808,5.35,4.665019e-05,27212,183091200,1.8690
2026-02-26T21:18:25.657295,7500,1.676343,5.35,4.660307e-05,27213,184320000,1.8814
2026-02-26T21:19:09.938046,7550,1.669701,5.31,4.655565e-05,27217,185548800,1.8937
2026-02-26T21:19:54.030500,7600,1.699153,5.47,4.650792e-05,27221,186777600,1.9060
2026-02-26T21:20:38.314223,7650,1.703069,5.49,4.645989e-05,27224,188006400,1.9183
2026-02-26T21:21:22.447541,7700,1.681825,5.38,4.641156e-05,27228,189235200,1.9305
2026-02-26T21:22:07.019541,7750,1.710701,5.53,4.636294e-05,27230,190464000,1.9429
2026-02-26T21:22:51.282961,7800,1.716932,5.57,4.631401e-05,27234,191692800,1.9552
2026-02-26T21:23:35.494342,7850,1.659752,5.26,4.626479e-05,27237,192921600,1.9675
2026-02-26T21:24:19.880977,7900,1.603729,4.97,4.621527e-05,27240,194150400,1.9798
2026-02-26T21:25:12.790553,7950,1.617656,5.04,4.616546e-05,27210,195379200,1.9945
2026-02-26T21:26:11.083253,8000,1.681129,5.37,4.611535e-05,27161,196608000,2.0107
2026-02-26T21:27:37.479678,8050,1.685555,5.40,4.606494e-05,27008,197836800,2.0347
2026-02-26T21:28:47.463042,8100,1.646526,5.19,4.601424e-05,26919,199065600,2.0542
2026-02-26T21:29:59.307933,8150,1.650372,5.21,4.596325e-05,26825,200294400,2.0741
2026-02-26T21:31:10.519348,8200,1.629391,5.10,4.591197e-05,26734,201523200,2.0939
2026-02-26T21:32:23.576653,8250,1.626866,5.09,4.586040e-05,26639,202752000,2.1142
2026-02-26T21:33:35.483835,8300,1.643667,5.17,4.580853e-05,26550,203980800,2.1342
2026-02-26T21:34:47.214798,8350,1.603609,4.97,4.575638e-05,26463,205209600,2.1541
2026-02-26T21:35:59.050544,8400,1.609022,5.00,4.570393e-05,26377,206438400,2.1740
2026-02-26T21:37:12.166264,8450,1.623515,5.07,4.565120e-05,26288,207667200,2.1944
2026-02-26T21:38:23.723750,8500,1.632717,5.12,4.559819e-05,26206,208896000,2.2142
2026-02-26T21:39:35.156711,8550,1.631142,5.11,4.554488e-05,26126,210124800,2.2341
2026-02-26T21:40:48.111411,8600,1.643055,5.17,4.549129e-05,26043,211353600,2.2543
2026-02-26T21:41:58.504249,8650,1.669241,5.31,4.543742e-05,25969,212582400,2.2739
2026-02-26T21:43:09.653849,8700,1.639938,5.15,4.538326e-05,25894,213811200,2.2937
2026-02-26T21:44:19.936656,8750,1.604856,4.98,4.532882e-05,25823,215040000,2.3132
2026-02-26T21:45:32.562418,8800,1.606795,4.99,4.527410e-05,25746,216268800,2.3334
2026-02-26T21:46:43.957818,8850,1.630664,5.11,4.521910e-05,25674,217497600,2.3532
2026-02-26T21:47:54.785040,8900,1.630564,5.11,4.516381e-05,25605,218726400,2.3729
2026-02-26T21:49:05.310582,8950,1.607169,4.99,4.510825e-05,25538,219955200,2.3925
2026-02-26T21:50:15.865276,9000,1.646448,5.19,4.505241e-05,25472,221184000,2.4121
2026-02-26T21:51:48.434207,9050,1.678190,5.36,4.499629e-05,25343,222412800,2.4378
2026-02-26T21:52:58.892925,9100,1.601170,4.96,4.493989e-05,25281,223641600,2.4573
2026-02-26T21:54:09.343680,9150,1.577538,4.84,4.488322e-05,25219,224870400,2.4769
2026-02-26T21:55:18.958471,9200,1.600456,4.96,4.482628e-05,25160,226099200,2.4962
2026-02-26T21:56:29.633312,9250,1.621605,5.06,4.476906e-05,25099,227328000,2.5159
2026-02-26T21:57:43.190047,9300,1.674118,5.33,4.471156e-05,25032,228556800,2.5363
2026-02-26T21:58:56.164147,9350,1.669192,5.31,4.465380e-05,24967,229785600,2.5566
2026-02-26T22:00:11.179708,9400,1.625756,5.08,4.459576e-05,24897,231014400,2.5774
2026-02-26T22:01:25.681694,9450,1.615326,5.03,4.453745e-05,24830,232243200,2.5981
2026-02-26T22:02:40.925943,9500,1.624994,5.08,4.447888e-05,24763,233472000,2.6190
2026-02-26T22:03:53.150766,9550,1.645557,5.18,4.442003e-05,24704,234700800,2.6391
2026-02-26T22:05:07.350634,9600,1.640831,5.16,4.436092e-05,24641,235929600,2.6597
2026-02-26T22:06:21.675146,9650,1.585396,4.88,4.430154e-05,24578,237158400,2.6803
2026-02-26T22:07:34.049943,9700,1.573470,4.82,4.424190e-05,24521,238387200,2.7004
2026-02-26T22:08:46.538113,9750,1.591419,4.91,4.418199e-05,24465,239616000,2.7206
2026-02-26T22:09:59.409351,9800,1.622931,5.07,4.412181e-05,24409,240844800,2.7408
2026-02-26T22:11:10.909207,9850,1.638335,5.15,4.406138e-05,24357,242073600,2.7607
2026-02-26T22:12:22.950345,9900,1.614440,5.03,4.400068e-05,24305,243302400,2.7807
2026-02-26T22:13:34.992292,9950,1.600242,4.95,4.393972e-05,24253,244531200,2.8007
2026-02-26T22:14:46.518024,10000,1.588869,4.90,4.387850e-05,24203,245760000,2.8206
2026-02-26T22:16:53.028626,10050,1.629746,5.10,4.381702e-05,24025,246988800,2.8557
2026-02-26T22:18:03.702164,10100,1.639977,5.16,4.375529e-05,23980,248217600,2.8753
2026-02-26T22:19:08.948678,10150,1.589741,4.90,4.369329e-05,23947,249446400,2.8935
2026-02-26T22:20:14.936655,10200,1.604769,4.98,4.363104e-05,23914,250675200,2.9118
2026-02-26T22:21:24.738655,10250,1.636059,5.13,4.356854e-05,23872,251904000,2.9312
2026-02-26T22:22:34.680017,10300,1.582826,4.87,4.350578e-05,23831,253132800,2.9506
2026-02-26T22:23:44.130628,10350,1.561444,4.77,4.344277e-05,23791,254361600,2.9699
2026-02-26T22:24:54.317905,10400,1.619426,5.05,4.337950e-05,23750,255590400,2.9894
2026-02-26T22:26:05.194342,10450,1.622964,5.07,4.331599e-05,23708,256819200,3.0091
2026-02-26T22:27:16.554268,10500,1.608350,4.99,4.325222e-05,23665,258048000,3.0289
2026-02-26T22:28:28.668828,10550,1.627581,5.09,4.318821e-05,23622,259276800,3.0489
2026-02-26T22:29:39.754148,10600,1.640722,5.16,4.312395e-05,23581,260505600,3.0687
2026-02-26T22:30:51.352817,10650,1.637110,5.14,4.305944e-05,23540,261734400,3.0886
2026-02-26T22:32:01.698992,10700,1.595644,4.93,4.299468e-05,23501,262963200,3.1081
2026-02-26T22:33:11.730915,10750,1.568129,4.80,4.292968e-05,23464,264192000,3.1276
2026-02-26T22:34:22.098705,10800,1.584831,4.88,4.286444e-05,23427,265420800,3.1471
2026-02-26T22:35:33.063330,10850,1.628651,5.10,4.279895e-05,23389,266649600,3.1668
2026-02-26T22:36:44.488302,10900,1.625055,5.08,4.273322e-05,23351,267878400,3.1867
2026-02-26T22:37:57.596924,10950,1.614798,5.03,4.266725e-05,23309,269107200,3.2070
