timestamp,step,recon_loss,pos_sim,neg_sim,wo_sim,eff_rank,lr,elapsed_hours
2026-03-07T13:54:08.411719,500,12.918558,0.4973,0.5743,0.9532,31,7.500000e-05,0.0757
2026-03-07T13:57:39.153307,1000,10.531896,0.5671,0.3908,0.9631,30,1.500000e-04,0.1342
2026-03-07T14:01:09.930536,1500,8.954268,0.5077,0.3229,0.9373,36,2.250000e-04,0.1927
2026-03-07T14:04:39.442420,2000,7.576571,0.5568,0.0466,0.8828,44,3.000000e-04,0.2509
2026-03-07T14:08:12.028846,2500,6.491559,0.6675,0.0954,0.8302,48,2.999953e-04,0.3100
2026-03-07T14:11:43.047915,3000,5.793483,0.6673,0.2167,0.8698,48,2.999812e-04,0.3686
2026-03-07T14:15:16.587355,3500,5.218388,0.5589,0.2011,0.7862,48,2.999576e-04,0.4279
2026-03-07T14:18:48.462933,4000,4.627820,0.6268,0.2898,0.8222,49,2.999246e-04,0.4868
2026-03-07T14:22:20.736590,4500,4.132764,0.5790,0.2431,0.8164,50,2.998821e-04,0.5457
2026-03-07T14:25:51.942248,5000,3.789366,0.6280,0.2537,0.7777,51,2.998302e-04,0.6044
2026-03-07T14:29:26.809544,5500,1.855952,0.5890,0.1738,0.7862,69,2.997689e-04,0.6641
2026-03-07T14:32:57.520503,6000,1.335781,0.6679,0.4317,0.8071,76,2.996982e-04,0.7226
2026-03-07T14:36:31.691594,6500,1.104872,0.6908,0.2762,0.7974,76,2.996180e-04,0.7821
2026-03-07T14:40:05.981971,7000,1.008801,0.7363,0.4564,0.8226,75,2.995284e-04,0.8416
