timestamp,step,recon_loss,token_acc,exact_match,acc_short,acc_med,acc_long,em_short,em_med,em_long,lr,elapsed_hours
2026-03-09T20:10:08.218538,50500,0.280267,0.9592,0.8688,1.0000,1.0000,0.9391,1.0000,1.0000,0.6075,2.577372e-04,0.0122
2026-03-09T20:10:46.436007,51000,0.279778,0.9597,0.8344,1.0000,0.9995,0.9460,1.0000,0.9922,0.6000,2.569058e-04,0.0228
2026-03-09T20:11:23.164973,51500,0.253344,0.9633,0.8531,1.0000,0.9991,0.9469,1.0000,0.9845,0.6018,2.560677e-04,0.0330
2026-03-09T20:12:00.067552,52000,0.233394,0.9736,0.8531,1.0000,1.0000,0.9626,1.0000,1.0000,0.5913,2.552229e-04,0.0433
2026-03-09T20:12:37.270221,52500,0.245960,0.9727,0.8375,1.0000,0.9995,0.9637,1.0000,0.9915,0.6277,2.543715e-04,0.0536
2026-03-09T20:13:14.210280,53000,0.224046,0.9621,0.8562,1.0000,1.0000,0.9467,1.0000,1.0000,0.6000,2.535136e-04,0.0639
2026-03-09T20:13:51.628299,53500,0.238826,0.9706,0.8719,1.0000,1.0000,0.9602,1.0000,1.0000,0.6746,2.526491e-04,0.0743
2026-03-09T20:14:28.244289,54000,0.229037,0.9722,0.8531,1.0000,0.9995,0.9620,1.0000,0.9928,0.6406,2.517782e-04,0.0845
2026-03-09T20:15:05.141884,54500,0.223808,0.9686,0.8688,1.0000,0.9992,0.9546,1.0000,0.9862,0.6296,2.509008e-04,0.0947
2026-03-09T20:15:42.024773,55000,0.205722,0.9736,0.8562,1.0000,1.0000,0.9639,1.0000,1.0000,0.6349,2.500171e-04,0.1049
2026-03-09T20:16:20.852373,55500,0.194899,0.9665,0.9125,1.0000,0.9995,0.9515,1.0000,0.9919,0.7672,2.491271e-04,0.1157
2026-03-09T20:16:57.776712,56000,0.194532,0.9736,0.8844,1.0000,1.0000,0.9627,1.0000,1.0000,0.6838,2.482309e-04,0.1260
2026-03-09T20:17:34.436527,56500,0.189131,0.9691,0.8562,1.0000,1.0000,0.9582,1.0000,1.0000,0.6349,2.473285e-04,0.1362
2026-03-09T20:18:11.265390,57000,0.184273,0.9642,0.8531,1.0000,0.9995,0.9523,1.0000,0.9921,0.6515,2.464200e-04,0.1464
2026-03-09T20:18:48.087050,57500,0.175851,0.9822,0.8750,1.0000,0.9995,0.9758,1.0000,0.9929,0.7000,2.455054e-04,0.1566
2026-03-09T20:19:24.627445,58000,0.159840,0.9735,0.8906,0.9982,0.9991,0.9631,0.9848,0.9858,0.7168,2.445847e-04,0.1668
2026-03-09T20:20:01.442032,58500,0.168498,0.9666,0.8781,1.0000,1.0000,0.9513,1.0000,1.0000,0.6286,2.436582e-04,0.1770
2026-03-09T20:20:38.610234,59000,0.165791,0.9662,0.8750,1.0000,1.0000,0.9508,1.0000,1.0000,0.6330,2.427257e-04,0.1873
2026-03-09T20:21:15.494789,59500,0.155012,0.9832,0.8906,1.0000,1.0000,0.9764,1.0000,1.0000,0.7107,2.417874e-04,0.1976
2026-03-09T20:21:52.138932,60000,0.154046,0.9767,0.9219,1.0000,0.9996,0.9665,1.0000,0.9925,0.7857,2.408433e-04,0.2078
2026-03-09T20:22:30.519971,60500,0.168809,0.9784,0.8750,1.0000,0.9986,0.9704,1.0000,0.9850,0.6807,2.398936e-04,0.2184
2026-03-09T20:23:07.463875,61000,0.148612,0.9693,0.8719,1.0000,1.0000,0.9580,1.0000,1.0000,0.6667,2.389381e-04,0.2287
2026-03-09T20:23:44.291917,61500,0.143322,0.9791,0.8844,1.0000,0.9995,0.9711,1.0000,0.9922,0.7025,2.379771e-04,0.2389
2026-03-09T20:24:20.941422,62000,0.142253,0.9822,0.8938,1.0000,1.0000,0.9758,1.0000,1.0000,0.7302,2.370105e-04,0.2491
2026-03-09T20:24:57.330244,62500,0.138885,0.9770,0.8781,1.0000,1.0000,0.9676,1.0000,1.0000,0.6579,2.360384e-04,0.2592
2026-03-09T20:25:34.706499,63000,0.137757,0.9813,0.9344,1.0000,0.9991,0.9707,1.0000,0.9854,0.8021,2.350609e-04,0.2696
2026-03-09T20:26:10.797340,63500,0.133823,0.9827,0.8969,1.0000,0.9995,0.9761,1.0000,0.9922,0.7377,2.340781e-04,0.2796
2026-03-09T20:26:47.410766,64000,0.140367,0.9758,0.8719,1.0000,1.0000,0.9651,1.0000,1.0000,0.6306,2.330900e-04,0.2898
2026-03-09T20:27:24.507268,64500,0.147172,0.9902,0.9000,1.0000,0.9986,0.9870,1.0000,0.9764,0.7717,2.320966e-04,0.3001
2026-03-09T20:28:00.798136,65000,0.138469,0.9834,0.9000,1.0000,0.9995,0.9763,1.0000,0.9925,0.7281,2.310981e-04,0.3102
2026-03-09T20:28:39.404707,65500,0.131182,0.9860,0.8875,1.0000,0.9984,0.9816,1.0000,0.9741,0.7442,2.300945e-04,0.3209
2026-03-09T20:29:16.508442,66000,0.138281,0.9769,0.9156,1.0000,0.9996,0.9674,1.0000,0.9926,0.7833,2.290858e-04,0.3312
2026-03-09T20:29:52.821544,66500,0.127488,0.9802,0.9187,1.0000,1.0000,0.9727,1.0000,1.0000,0.7969,2.280722e-04,0.3413
2026-03-09T20:30:29.246220,67000,0.109152,0.9676,0.8750,1.0000,0.9987,0.9563,1.0000,0.9786,0.7016,2.270537e-04,0.3514
2026-03-09T20:31:06.916501,67500,0.113652,0.9900,0.9031,1.0000,0.9995,0.9862,1.0000,0.9922,0.7500,2.260302e-04,0.3619
2026-03-09T20:31:45.662746,68000,0.117523,0.9773,0.8969,1.0000,0.9986,0.9700,1.0000,0.9840,0.7652,2.250021e-04,0.3726
2026-03-09T20:32:22.790505,68500,0.108344,0.9808,0.8875,1.0000,0.9990,0.9748,1.0000,0.9837,0.7424,2.239692e-04,0.3829
