timestamp,step,recon_loss,pos_sim,neg_sim,wo_sim,eff_rank,lr,elapsed_hours
2026-03-08T14:19:12.391416,500,28.322108,0.6952,0.5960,0.9018,19,7.500000e-05,0.0757
2026-03-08T14:23:39.421815,1000,16.934029,0.7914,0.6526,0.9701,22,1.500000e-04,0.1498
2026-03-08T14:28:06.103686,1500,13.012701,0.7535,0.5030,0.9577,21,2.250000e-04,0.2239
2026-03-08T14:32:34.657474,2000,12.054708,0.8418,0.6268,0.9638,21,3.000000e-04,0.2985
2026-03-08T14:37:03.118176,2500,11.140495,0.7583,0.6869,0.9606,21,2.999953e-04,0.3731
2026-03-08T14:41:30.856964,3000,10.698925,0.7008,0.4939,0.9547,23,2.999812e-04,0.4475
2026-03-08T14:45:58.059474,3500,10.304937,0.7790,0.3630,0.8356,23,2.999576e-04,0.5217
2026-03-08T14:50:26.004228,4000,10.031130,0.7487,0.3512,0.9007,23,2.999246e-04,0.5961
2026-03-08T14:54:52.534542,4500,9.772495,0.8077,0.5854,0.8572,24,2.998821e-04,0.6701
