timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,tokens_billions,elapsed_hours,val_loss,linux_bench_acc,stage
2026-03-05T16:24:45.524364,50,10.303858,29847.54,2.500000e-05,8396,1638400,0.0016,0.0542,,,1
2026-03-05T16:26:13.394129,100,9.738950,16965.71,5.000000e-05,11578,3276800,0.0033,0.0786,,,1
2026-03-05T16:27:40.808404,150,8.599986,5431.58,7.500000e-05,13269,4915200,0.0049,0.1029,,,1
2026-03-05T16:29:08.818628,200,7.599195,1996.59,1.000000e-04,14295,6553600,0.0066,0.1273,,,1
2026-03-05T16:30:36.483135,250,7.036235,1137.10,1.250000e-04,15001,8192000,0.0082,0.1517,,,1
2026-03-05T16:32:03.897004,300,6.757927,860.86,1.500000e-04,15517,9830400,0.0098,0.1760,,,1
2026-03-05T16:33:31.418046,350,6.458497,638.10,1.750000e-04,15906,11468800,0.0115,0.2003,,,1
2026-03-05T16:34:58.476104,400,6.174912,480.54,2.000000e-04,16220,13107200,0.0131,0.2245,,,1
2026-03-05T16:36:26.185987,450,6.010665,407.75,2.250000e-04,16461,14745600,0.0147,0.2488,,,1
2026-03-05T16:37:52.884476,500,5.897389,364.09,2.500000e-04,16676,16384000,0.0164,0.2729,,,1
2026-03-05T16:39:19.899967,550,5.742966,311.99,2.750000e-04,16851,18022400,0.0180,0.2971,,,1
2026-03-05T16:40:46.527892,600,5.613160,274.01,3.000000e-04,17005,19660800,0.0197,0.3212,,,1
2026-03-05T16:42:12.794776,650,5.506996,246.41,3.250000e-04,17143,21299200,0.0213,0.3451,,,1
2026-03-05T16:43:40.895998,700,5.400074,221.42,3.500000e-04,17240,22937600,0.0229,0.3696,,,1
2026-03-05T16:45:09.694981,750,5.301262,200.59,3.750000e-04,17315,24576000,0.0246,0.3943,,,1
2026-03-05T16:46:36.006652,800,5.062917,158.05,4.000000e-04,17411,26214400,0.0262,0.4182,,,1
2026-03-05T16:48:02.649539,850,4.812736,123.07,4.250000e-04,17492,27852800,0.0279,0.4423,,,1
2026-03-05T16:49:29.451858,900,4.942163,140.07,4.500000e-04,17564,29491200,0.0295,0.4664,,,1
2026-03-05T16:50:56.818279,950,5.152904,172.93,4.750000e-04,17623,31129600,0.0311,0.4907,,,1
2026-03-05T16:52:23.366184,1000,5.151550,172.70,5.000000e-04,17684,32768000,0.0328,0.5147,,,1
2026-03-05T16:53:03.802763,1000,5.151550,172.70,5.000000e-04,17306,32768000,0.0328,0.5260,5.720612,,1
2026-03-05T16:54:37.263394,1050,5.050424,156.09,5.250000e-04,17317,34406400,0.0344,0.5519,,,1
2026-03-05T16:56:03.621315,1100,4.964589,143.25,5.500000e-04,17386,36044800,0.0360,0.5759,,,1
2026-03-05T16:57:29.633227,1150,4.860653,129.11,5.750000e-04,17452,37683200,0.0377,0.5998,,,1
2026-03-05T16:58:55.558831,1200,4.748680,115.43,6.000000e-04,17514,39321600,0.0393,0.6237,,,1
2026-03-05T17:00:21.993653,1250,4.674832,107.21,6.250000e-04,17567,40960000,0.0410,0.6477,,,1
2026-03-05T17:01:48.371007,1300,4.618111,101.30,6.500000e-04,17617,42598400,0.0426,0.6717,,,1
2026-03-05T17:03:14.478636,1350,4.525309,92.32,6.750000e-04,17666,44236800,0.0442,0.6956,,,1
2026-03-05T17:04:40.519570,1400,4.455770,86.12,7.000000e-04,17711,45875200,0.0459,0.7195,,,1
2026-03-05T17:06:06.398513,1450,4.437006,84.52,7.250000e-04,17755,47513600,0.0475,0.7433,,,1
2026-03-05T17:07:32.575027,1500,4.313036,74.67,7.500000e-04,17795,49152000,0.0492,0.7673,,,1
2026-03-05T17:09:03.200148,1550,4.213365,67.58,7.750000e-04,17804,50790400,0.0508,0.7925,,,1
2026-03-05T17:10:29.707604,1600,4.136616,62.59,8.000000e-04,17837,52428800,0.0524,0.8165,,,1
2026-03-05T17:11:56.269674,1650,4.033501,56.46,8.250000e-04,17868,54067200,0.0541,0.8405,,,1
2026-03-05T17:13:22.408673,1700,4.033075,56.43,8.500000e-04,17900,55705600,0.0557,0.8645,,,1
2026-03-05T17:14:48.410340,1750,4.022420,55.84,8.750000e-04,17931,57344000,0.0573,0.8883,,,1
