timestamp,step,recon_loss,token_acc,exact_match,em_ema,lr,elapsed_hours,analogy_avg,clustering_gap,direction_consistency,word_order_sim,effective_rank90,effective_rank95,fr_loss,fr_token_acc,nli_loss,wn_noun_loss,wn_axis_loss,wn_tropo_loss,wo_loss,nli_ordering_acc,wn_noun_corr
2026-03-12T09:18:20.749113,500,10.281429,0.0760,0.0000,0.0000,5.000000e-05,0.0102,0.6417,-0.0123,0.2619,0.9997,10,12,9.897268,0.1200,0.063562,0.048130,0.067769,0.280756,0.000000,1.0000,0.0000
2026-03-12T09:18:56.962159,1000,7.584482,0.1988,0.0000,0.0000,1.000000e-04,0.0203,0.7149,0.0441,0.1388,0.9999,7,10,7.221181,0.2600,0.070694,0.063083,0.007075,0.042417,0.000000,0.0000,0.0000
2026-03-12T09:19:32.081645,1500,6.950329,0.2105,0.0000,0.0000,1.500000e-04,0.0300,0.6156,0.0613,0.2842,0.9997,8,9,6.841833,0.2800,0.066044,0.035946,0.006550,0.016947,0.000000,0.0000,0.0000
2026-03-12T09:20:06.895219,2000,6.847075,0.1754,0.0000,0.0000,2.000000e-04,0.0397,0.6384,0.0602,0.1221,0.9994,8,9,6.759438,0.3200,0.064301,0.031192,0.003742,0.027457,0.000000,1.0000,0.0000
2026-03-12T09:20:41.625880,2500,6.716951,0.1871,0.0000,0.0000,1.999997e-04,0.0493,0.6301,0.0187,0.1529,0.9988,8,10,6.722277,0.3000,0.062652,0.026143,0.001784,0.009493,0.000000,0.0000,0.0000
2026-03-12T09:21:16.491426,3000,6.652085,0.2164,0.0000,0.0000,1.999987e-04,0.0590,0.6215,0.0750,0.1716,0.9976,8,10,6.673688,0.3000,0.059696,0.024232,0.001289,0.003649,0.000000,1.0000,0.0000
2026-03-12T09:21:50.516523,3500,6.601337,0.1930,0.0000,0.0000,1.999971e-04,0.0685,0.5959,0.0939,0.2120,0.9981,9,10,6.626503,0.3400,0.048063,0.020488,0.000931,0.002785,0.000000,0.0000,0.0000
2026-03-12T09:22:25.377877,4000,6.518412,0.1871,0.0000,0.0000,1.999948e-04,0.0782,0.5630,0.0303,0.1172,0.9964,10,13,6.568860,0.3400,0.050547,0.020569,0.000783,0.001885,0.000000,0.0000,0.0000
2026-03-12T09:22:59.820861,4500,6.494774,0.1930,0.0000,0.0000,1.999918e-04,0.0877,0.5207,0.0772,0.2130,0.9943,11,15,6.561833,0.3200,0.044990,0.017711,0.001263,0.002957,0.000000,1.0000,0.0000
