2026-03-12T23:41:22.082041,1000,4.366229,0.2152,0.0000,0.0000,1.500000e-04,0.0369,0.8843,0.0198,0.3470,0.9997,10,12
2026-03-12T23:43:33.719850,2000,5.176430,0.1899,0.0000,0.0000,3.000000e-04,0.0735,0.6467,0.1096,0.4064,0.9586,14,16
2026-03-12T23:45:45.598238,3000,2.639040,0.4747,0.0000,0.0000,2.999980e-04,0.1101,0.8663,0.0098,0.2090,0.9788,40,48
2026-03-12T23:47:57.788351,4000,1.691667,0.7278,0.0000,0.0000,2.999920e-04,0.1468,0.9141,0.0070,0.2489,0.9860,38,47
2026-03-12T23:50:09.710059,5000,1.285681,0.7975,0.0000,0.0000,2.999820e-04,0.1835,0.7700,0.0120,0.2768,0.9706,40,48
2026-03-12T23:52:21.905548,6000,0.866473,0.8861,0.0000,0.0000,2.999680e-04,0.2202,0.7942,0.0144,0.2637,0.9774,36,45
2026-03-12T23:54:34.477872,7000,0.494105,0.8165,0.0000,0.0000,2.999500e-04,0.2570,0.9394,0.0115,0.2916,0.9870,33,42
2026-03-12T23:56:46.660457,8000,0.418921,0.9177,0.0000,0.0000,2.999280e-04,0.2937,0.8986,0.0140,0.2881,0.9742,35,44
2026-03-12T23:58:58.453052,9000,0.286457,0.8924,0.0000,0.0000,2.999020e-04,0.3304,0.8945,0.0217,0.2067,0.9800,34,43
2026-03-13T00:01:11.460865,10000,0.224174,0.9430,0.3077,0.0031,2.998720e-04,0.3673,0.9342,0.0080,0.2422,0.9815,36,45
2026-03-13T00:03:23.784230,11000,0.198249,0.8608,0.1538,0.0046,2.998380e-04,0.4041,0.8610,0.0083,0.2660,0.9804,37,45
2026-03-13T00:05:36.315983,12000,0.171618,0.9494,0.4615,0.0092,2.998000e-04,0.4409,0.8889,0.0063,0.2522,0.9876,36,45
2026-03-13T00:07:46.586206,13000,0.200244,0.9367,0.2308,0.0114,2.997580e-04,0.4771,0.9464,0.0089,0.2752,0.9863,29,39
2026-03-13T00:09:59.152144,14000,0.144375,0.9051,0.0000,0.0113,2.997120e-04,0.5139,0.8567,0.0083,0.2379,0.9822,34,43
2026-03-13T00:12:11.974051,15000,0.172609,0.9684,0.6154,0.0173,2.996620e-04,0.5508,0.8949,0.0125,0.3193,0.9823,32,41
2026-03-13T00:14:24.818634,16000,0.135719,0.9114,0.0000,0.0171,2.996080e-04,0.5877,0.8603,0.0071,0.2389,0.9847,37,46
2026-03-13T00:16:36.857190,17000,0.103102,0.9430,0.3077,0.0200,2.995501e-04,0.6244,0.9069,0.0052,0.2768,0.9888,32,42
2026-03-13T00:18:47.049040,18000,0.118629,0.9620,0.5385,0.0252,2.994881e-04,0.6605,0.7867,0.0094,0.2360,0.9860,33,42
2026-03-13T00:20:56.877259,19000,0.119132,0.9114,0.1538,0.0265,2.994222e-04,0.6966,0.7442,0.0164,0.3070,0.9873,30,40
2026-03-13T00:23:07.669805,20000,0.091686,0.9430,0.3846,0.0301,2.993522e-04,0.7329,0.7990,0.0158,0.2751,0.9851,29,39
2026-03-13T00:25:20.856608,21000,0.127172,0.9557,0.4615,0.0344,2.992783e-04,0.7699,0.8627,0.0193,0.2832,0.9772,35,45
2026-03-13T00:27:31.873059,22000,0.080799,0.8734,0.0000,0.0341,2.992004e-04,0.8063,0.9496,0.0095,0.3371,0.9861,30,40
2026-03-13T00:29:44.190524,23000,0.096708,0.9494,0.3846,0.0376,2.991186e-04,0.8431,0.9719,0.0066,0.2831,0.9917,31,41
2026-03-13T00:31:54.005375,24000,0.074467,0.9620,0.5385,0.0426,2.990327e-04,0.8791,0.8976,0.0111,0.2855,0.9922,28,38
2026-03-13T00:34:05.926619,25000,0.075665,0.9430,0.3077,0.0452,2.989429e-04,0.9158,0.9450,0.0071,0.2737,0.9876,32,42
2026-03-13T00:36:06.107508,26000,0.080397,0.9747,0.6923,0.0517,2.988491e-04,0.9491,0.9412,0.0158,0.2872,0.9906,29,39
2026-03-13T00:37:56.265024,27000,0.102570,0.9430,0.3077,0.0542,2.987513e-04,0.9797,0.9081,0.0130,0.3024,0.9880,31,40
2026-03-13T00:39:42.771212,28000,0.061437,0.9873,0.8462,0.0622,2.986496e-04,1.0093,0.9181,0.0088,0.3404,0.9901,29,39
2026-03-13T00:41:29.858442,29000,0.077284,0.9430,0.3077,0.0646,2.985439e-04,1.0391,0.9783,0.0059,0.3430,0.9953,26,36
2026-03-13T00:43:17.820012,30000,0.063119,0.9873,0.8462,0.0724,2.984342e-04,1.0691,0.9850,0.0066,0.3147,0.9958,25,36
2026-03-13T00:45:05.040878,31000,0.064798,0.9747,0.6923,0.0786,2.983206e-04,1.0989,0.9674,0.0127,0.3294,0.9929,28,38
2026-03-13T00:47:01.370789,32000,0.079105,0.9430,0.3077,0.0809,2.982030e-04,1.1312,0.9749,0.0055,0.2517,0.9924,30,40
2026-03-13T00:49:12.652584,33000,0.054033,0.9304,0.1538,0.0817,2.980815e-04,1.1676,0.9734,0.0068,0.2486,0.9897,32,42
2026-03-13T00:51:24.231579,34000,0.080643,0.9430,0.3077,0.0839,2.979560e-04,1.2042,0.8835,0.0102,0.3321,0.9862,31,40
2026-03-13T00:53:34.388001,35000,0.063734,0.9747,0.6923,0.0900,2.978266e-04,1.2403,0.8445,0.0103,0.3079,0.9901,30,39
2026-03-13T00:55:46.265729,36000,0.065300,0.9684,0.6154,0.0953,2.976932e-04,1.2770,0.8339,0.0098,0.2995,0.9906,31,41
2026-03-13T00:57:57.998738,37000,0.067260,0.9494,0.3846,0.0981,2.975559e-04,1.3136,0.9709,0.0053,0.3067,0.9915,32,42
2026-03-13T01:00:09.662661,38000,0.061459,0.9937,0.9231,0.1064,2.974146e-04,1.3501,0.9537,0.0107,0.2654,0.9880,31,41
2026-03-13T01:02:21.671256,39000,0.059399,0.9937,0.9231,0.1146,2.972695e-04,1.3868,0.9591,0.0087,0.2831,0.9900,30,40
2026-03-13T01:04:32.704186,40000,0.058912,0.9367,0.2308,0.1157,2.971204e-04,1.4232,0.9364,0.0043,0.2478,0.9919,31,41
2026-03-13T01:06:45.027858,41000,0.102494,0.9557,0.4615,0.1192,2.969673e-04,1.4600,0.9112,0.0113,0.2910,0.9873,31,41
2026-03-13T01:08:53.177088,42000,0.051574,0.9810,0.7692,0.1257,2.968104e-04,1.4956,0.8706,0.0226,0.3369,0.9807,31,41
2026-03-13T01:11:03.992797,43000,0.045288,0.9620,0.6154,0.1306,2.966496e-04,1.5319,0.8363,0.0129,0.2851,0.9842,31,41
2026-03-13T01:13:16.438330,44000,0.052471,0.9367,0.2308,0.1316,2.964848e-04,1.5687,0.9626,0.0063,0.2621,0.9924,27,38
2026-03-13T01:15:27.325306,45000,0.039292,0.9367,0.2308,0.1326,2.963161e-04,1.6050,0.8767,0.0108,0.3119,0.9873,31,41
2026-03-13T01:17:39.596763,46000,0.041797,0.9620,0.5385,0.1366,2.961436e-04,1.6418,0.8642,0.0055,0.2743,0.9887,32,42
2026-03-13T01:19:51.695748,47000,0.050264,0.9810,0.7692,0.1430,2.959671e-04,1.6785,0.8405,0.0131,0.3027,0.9881,30,40
2026-03-13T01:22:03.278847,48000,0.042711,0.9810,0.7692,0.1492,2.957867e-04,1.7150,0.7249,0.0068,0.2772,0.9917,31,41
2026-03-13T01:24:16.107896,49000,0.050748,0.9747,0.6923,0.1547,2.956025e-04,1.7519,0.9390,0.0061,0.2706,0.9924,31,41
2026-03-13T01:26:27.605711,50000,0.067432,0.9747,0.7692,0.1608,2.954144e-04,1.7885,0.8492,0.0131,0.2773,0.9821,31,41
2026-03-13T01:28:36.545981,51000,0.049653,0.9873,0.8462,0.1677,2.952224e-04,1.8243,0.8962,0.0255,0.2692,0.9847,29,39
2026-03-13T01:30:32.950453,52000,0.044583,0.9747,0.6923,0.1729,2.950265e-04,1.8566,0.9442,0.0116,0.3494,0.9905,28,39
2026-03-13T01:32:23.010394,53000,0.035836,0.9494,0.3846,0.1750,2.948268e-04,1.8872,0.9647,0.0127,0.3259,0.9908,28,38
2026-03-13T01:34:30.871576,54000,0.045990,0.9937,0.9231,0.1825,2.946232e-04,1.9227,0.7849,0.0152,0.2941,0.9792,33,43
2026-03-13T01:36:43.120970,55000,0.043208,0.9430,0.3077,0.1838,2.944158e-04,1.9594,0.9000,0.0067,0.2992,0.9898,30,40
2026-03-13T01:38:54.905765,56000,0.051090,0.9557,0.4615,0.1865,2.942045e-04,1.9960,0.9298,0.0137,0.3523,0.9855,31,41
2026-03-13T01:41:04.671236,57000,0.044223,0.9873,0.8462,0.1931,2.939893e-04,2.0321,0.8837,0.0321,0.3503,0.9669,31,41
2026-03-13T01:43:13.398177,58000,0.039116,0.9684,0.6154,0.1973,2.937704e-04,2.0678,0.9841,0.0132,0.3420,0.9904,25,36
2026-03-13T01:45:22.631758,59000,0.032060,0.9684,0.6154,0.2015,2.935476e-04,2.1037,0.9364,0.0126,0.3494,0.9904,27,38
2026-03-13T07:51:46.230268,60000,0.048211,0.9494,0.3846,0.2034,2.933210e-04,0.0349,0.8570,0.0029,0.3345,0.9935,29,40
2026-03-13T07:53:49.367410,61000,0.074824,0.9937,0.9231,0.2106,2.930905e-04,0.0691,0.8264,0.0262,0.3445,0.9776,32,41
2026-03-13T07:55:52.935091,62000,0.062710,0.9684,0.6154,0.2146,2.928563e-04,0.1035,0.7427,0.0069,0.2956,0.9883,31,41
2026-03-13T07:57:57.143785,63000,0.053436,0.9747,0.6923,0.2194,2.926182e-04,0.1380,0.9599,0.0033,0.2451,0.9909,33,43
2026-03-13T08:00:01.184048,64000,0.045930,0.9873,0.8462,0.2256,2.923764e-04,0.1724,0.9249,0.0077,0.2965,0.9867,32,42
2026-03-13T08:02:03.930907,65000,0.037599,0.9367,0.2308,0.2257,2.921307e-04,0.2065,0.9668,0.0141,0.3027,0.9898,27,38
2026-03-13T08:04:07.324382,66000,0.039450,0.9430,0.3077,0.2265,2.918813e-04,0.2408,0.9299,0.0071,0.2811,0.9912,29,39
2026-03-13T08:06:11.012140,67000,0.058506,0.9873,0.8462,0.2327,2.916281e-04,0.2751,0.8784,0.0044,0.2681,0.9897,32,42
2026-03-13T08:08:14.498967,68000,0.037376,0.9810,0.7692,0.2381,2.913711e-04,0.3094,0.8137,0.0052,0.2796,0.9914,31,41
2026-03-13T08:10:11.966803,69000,0.035057,0.9684,0.6154,0.2419,2.911104e-04,0.3421,0.8854,0.0162,0.3318,0.9887,29,39
2026-03-13T08:12:03.540109,70000,0.035327,0.9620,0.5385,0.2448,2.908459e-04,0.3731,0.6967,0.0118,0.4570,0.9901,31,41
2026-03-13T08:14:07.582445,71000,0.030961,0.9557,0.4615,0.2470,2.905776e-04,0.4075,0.9628,0.0077,0.3089,0.9903,32,42
2026-03-13T08:16:11.651253,72000,0.038415,0.9620,0.5385,0.2499,2.903056e-04,0.4420,0.9553,0.0059,0.2828,0.9908,32,42
2026-03-13T08:18:15.757796,73000,0.022594,0.9810,0.7692,0.2551,2.900299e-04,0.4765,0.9820,0.0023,0.2795,0.9962,27,38
2026-03-13T08:20:09.818763,74000,0.035408,0.9810,0.7692,0.2602,2.897505e-04,0.5081,0.9388,0.0112,0.3209,0.9897,30,39
2026-03-13T08:22:06.396287,75000,0.033237,0.9810,0.7692,0.2653,2.894673e-04,0.5405,0.9485,0.0111,0.2774,0.9904,29,40
2026-03-13T08:24:10.031548,76000,0.030170,0.9494,0.3846,0.2665,2.891804e-04,0.5749,0.9341,0.0034,0.2748,0.9935,29,40
2026-03-13T08:26:13.237888,77000,0.057239,0.9367,0.2308,0.2662,2.888898e-04,0.6091,0.9266,0.0111,0.3841,0.9916,28,39
2026-03-13T08:28:17.209233,78000,0.041287,0.9494,0.3846,0.2673,2.885956e-04,0.6435,0.9112,0.0049,0.2811,0.9927,31,42
2026-03-13T08:30:19.950917,79000,0.030652,0.9620,0.6154,0.2708,2.882976e-04,0.6776,0.9740,0.0046,0.3516,0.9958,25,36
2026-03-13T08:32:23.678424,80000,0.030977,0.9684,0.6154,0.2743,2.879959e-04,0.7120,0.9274,0.0035,0.2810,0.9952,27,38
2026-03-13T08:34:31.207448,81000,0.035668,0.9873,0.8462,0.2800,2.876906e-04,0.7474,0.8926,0.0082,0.2922,0.9899,32,42
2026-03-13T08:36:38.751469,82000,0.043997,0.9873,0.8462,0.2857,2.873816e-04,0.7828,0.9191,0.0047,0.3126,0.9931,29,40
2026-03-13T08:38:44.987375,83000,0.035340,0.9810,0.7692,0.2905,2.870690e-04,0.8179,0.9560,0.0055,0.2875,0.9925,31,41
2026-03-13T08:40:49.071591,84000,0.030303,0.9937,0.9231,0.2968,2.867527e-04,0.8524,0.9325,0.0049,0.2727,0.9931,31,41
2026-03-13T08:42:53.168612,85000,0.028839,0.9810,0.7692,0.3015,2.864328e-04,0.8868,0.8890,0.0056,0.2626,0.9926,32,42
2026-03-13T08:44:56.757053,86000,0.023556,0.9873,0.8462,0.3070,2.861093e-04,0.9212,0.8881,0.0038,0.2709,0.9945,29,40
2026-03-13T08:47:00.399869,87000,0.020844,0.9747,0.6923,0.3108,2.857821e-04,0.9555,0.9415,0.0088,0.2757,0.9903,32,42
2026-03-13T08:49:03.754462,88000,0.024316,0.9557,0.5385,0.3131,2.854514e-04,0.9898,0.8717,0.0071,0.2699,0.9927,31,41
