timestamp,step,recon_loss,pos_sim,neg_sim,wo_sim,eff_rank,lr,elapsed_hours
2026-03-07T16:39:59.731547,500,13.412149,0.6033,0.2249,0.9454,22,7.500000e-05,0.0882
2026-03-07T16:44:11.021766,1000,11.036684,0.6593,0.0077,0.9467,22,1.500000e-04,0.1580
2026-03-07T16:48:17.480586,1500,9.498874,0.5918,0.1585,0.9811,23,2.250000e-04,0.2264
2026-03-07T16:52:25.201740,2000,8.168090,0.6429,0.1988,0.9569,31,3.000000e-04,0.2953
2026-03-07T16:56:32.784295,2500,7.145557,0.6504,0.2129,0.9433,37,2.999953e-04,0.3640
2026-03-07T17:00:39.006569,3000,6.480116,0.7214,0.1530,0.9444,41,2.999812e-04,0.4324
2026-03-07T17:04:46.429392,3500,5.957890,0.7053,0.1381,0.9473,42,2.999576e-04,0.5012
2026-03-07T17:08:53.214857,4000,5.512062,0.6171,0.1063,0.9166,44,2.999246e-04,0.5697
2026-03-07T17:13:02.973122,4500,3.672584,0.6070,0.2407,0.9049,53,2.998821e-04,0.6391
2026-03-07T17:17:08.627675,5000,2.364815,0.7180,0.3879,0.8639,53,2.998302e-04,0.7073
2026-03-07T17:21:24.613576,5500,1.837613,0.6379,0.3971,0.7805,48,2.997689e-04,0.7784
2026-03-07T17:25:38.166805,6000,1.647033,0.6796,0.3553,0.7584,45,2.996982e-04,0.8489
2026-03-07T17:29:53.602273,6500,1.512650,0.7085,0.4861,0.6613,43,2.996180e-04,0.9198
2026-03-07T17:40:12.042892,500,13.415309,0.6013,0.3139,0.9088,22,7.500000e-05,0.0905
2026-03-07T17:44:30.002978,1000,11.086979,0.7113,0.2741,0.9277,22,1.500000e-04,0.1622
2026-03-07T17:48:49.649887,1500,9.485074,0.6956,-0.0082,0.9777,24,2.250000e-04,0.2343
2026-03-07T17:53:05.892067,2000,8.214666,0.6766,0.0563,0.9660,29,3.000000e-04,0.3055
2026-03-07T17:57:26.746406,2500,7.408903,0.7027,0.1358,0.9562,31,2.999953e-04,0.3779
2026-03-07T18:01:44.399832,3000,6.757028,0.7207,0.0039,0.9611,31,2.999812e-04,0.4495
