timestamp,step,recon_loss,token_acc,exact_match,em_ema,lr,elapsed_hours,analogy_avg,clustering_gap,direction_consistency,word_order_sim,effective_rank90,effective_rank95,fr_loss,fr_token_acc,es_loss,es_token_acc,para_loss,para_token_acc,parse_loss,parse_token_acc,geo_scale,wo_loss,hrepul_loss,brepul_loss,analogy_loss,dircon_loss,cluster_loss
2026-03-11T11:12:24.192871,500,6.593834,0.2468,0.0000,0.0000,5.000000e-05,0.0288,0.9406,0.2140,0.2037,0.9998,3,4,8.799859,0.2558,8.568253,0.1667,8.177036,0.0000,7.288370,0.4478,0.0998,0.099453,0.150632,0.063577,0.009052,0.070461,0.087538
2026-03-11T11:14:04.691666,1000,5.942413,0.2722,0.0000,0.0000,1.000000e-04,0.0568,0.9421,0.0477,0.3314,0.9999,5,7,6.855186,0.3256,6.692804,0.3056,5.662777,0.0000,3.794467,0.6119,0.1998,0.091421,0.091147,0.016047,0.002813,0.051135,0.046371
2026-03-11T11:15:44.984529,1500,5.575314,0.2532,0.0000,0.0000,1.500000e-04,0.0846,0.9516,0.2069,0.1110,0.9797,6,7,6.676069,0.3953,6.486586,0.3889,5.130188,0.0000,3.160741,0.5672,0.2998,0.061223,0.084515,0.013581,0.001184,0.048354,0.041509
2026-03-11T11:17:25.480358,2000,5.560116,0.2152,0.0000,0.0000,2.000000e-04,0.1125,0.7832,0.2444,0.2188,0.9121,6,8,6.609241,0.3488,6.430735,0.3611,5.033705,0.0000,2.960162,0.6119,0.3998,0.018217,0.077884,0.011428,0.000679,0.043894,0.025780
2026-03-11T11:19:05.588313,2500,5.406247,0.2595,0.0000,0.0000,1.999997e-04,0.1403,0.9080,0.1556,0.1736,0.9237,5,7,6.548326,0.3721,6.321727,0.4167,4.857818,0.0000,2.882263,0.6716,0.4998,0.009687,0.075128,0.010618,0.002601,0.050969,0.003237
2026-03-11T11:20:46.341930,3000,5.232585,0.2278,0.0000,0.0000,1.999987e-04,0.1683,0.9467,0.1307,0.2178,0.9563,7,10,6.491088,0.3488,6.273593,0.4167,4.833319,0.0000,2.768652,0.6269,0.5998,0.011708,0.070905,0.009097,0.003521,0.041792,0.010935
2026-03-11T11:22:27.129432,3500,5.269289,0.2722,0.0000,0.0000,1.999971e-04,0.1963,0.7961,0.1683,0.2015,0.8921,9,11,6.462068,0.3953,6.216111,0.4167,4.770662,0.0000,2.712325,0.6418,0.6998,0.004549,0.073360,0.010411,0.006027,0.051604,0.002284
2026-03-11T11:24:08.862700,4000,4.944322,0.2595,0.0000,0.0000,1.999948e-04,0.2246,0.7411,0.2205,0.1293,0.8779,8,11,6.426147,0.3721,6.160000,0.4167,4.728934,0.0000,2.653597,0.6119,0.7998,0.006007,0.066951,0.007880,0.001449,0.046438,0.001064
2026-03-11T11:25:48.764803,4500,4.857328,0.2658,0.0000,0.0000,1.999918e-04,0.2523,0.8545,0.2262,0.1910,0.8862,8,11,6.371452,0.4186,6.116403,0.4444,4.684783,0.0000,2.605632,0.5672,0.8998,0.010407,0.068018,0.008398,0.007325,0.046746,0.006394
2026-03-11T11:27:30.100969,5000,4.825152,0.2848,0.0000,0.0000,1.999882e-04,0.2805,0.8246,0.2006,0.1617,0.8792,9,11,6.324155,0.4186,6.066950,0.4722,4.623977,0.0000,2.524694,0.6418,0.9998,0.006899,0.066074,0.007977,0.000000,0.043442,0.013850
2026-03-11T11:29:14.940620,5500,4.514375,0.2595,0.0000,0.0000,1.999840e-04,0.3096,0.8946,0.2014,0.1805,0.7870,9,13,6.318181,0.3953,5.977229,0.4167,4.625619,0.0000,2.567299,0.6567,1.0000,0.003352,0.070946,0.009678,0.000670,0.044172,0.006388
2026-03-11T11:30:57.825389,6000,3.689061,0.3228,0.0000,0.0000,1.999790e-04,0.3382,0.9173,0.1932,0.1520,0.7588,12,18,6.268002,0.4419,5.945688,0.4444,4.611856,0.0000,2.516720,0.6567,1.0000,0.002906,0.086098,0.021687,0.003516,0.045253,0.015162
2026-03-11T11:32:38.153100,6500,3.031195,0.3797,0.0000,0.0000,1.999735e-04,0.3661,0.8647,0.1792,0.0776,0.6744,17,24,6.196533,0.3721,5.899481,0.4444,4.513694,0.0000,2.402519,0.6418,1.0000,0.004147,0.097474,0.034666,0.001139,0.045815,0.008948
2026-03-11T11:34:18.171064,7000,2.494874,0.4684,0.0000,0.0000,1.999672e-04,0.3938,0.7894,0.1533,0.0908,0.5959,18,26,6.216354,0.3953,5.868578,0.4722,4.504044,0.0000,2.338878,0.6269,1.0000,0.002448,0.099775,0.039015,0.000111,0.045601,0.007090
2026-03-11T11:35:59.006076,7500,2.309869,0.4937,0.0000,0.0000,1.999604e-04,0.4218,0.7962,0.1855,0.0977,0.5453,19,26,6.168923,0.3953,5.881082,0.3889,4.472806,0.0000,2.291043,0.7164,1.0000,0.002987,0.091431,0.030111,0.002630,0.043079,0.004929
2026-03-11T11:37:39.553457,8000,2.038901,0.5253,0.0000,0.0000,1.999528e-04,0.4498,0.8226,0.1470,0.0940,0.6048,20,27,6.162767,0.4186,5.854312,0.4444,4.526141,0.0000,2.282918,0.6866,1.0000,0.002222,0.084388,0.024498,0.002678,0.041018,0.003242
2026-03-11T11:39:20.464292,8500,1.811202,0.6772,0.0000,0.0000,1.999446e-04,0.4778,0.6670,0.1686,0.0925,0.5902,21,29,6.173213,0.4419,5.842029,0.4444,4.418886,0.0000,2.227322,0.7164,1.0000,0.002745,0.082882,0.023379,0.002262,0.042808,0.005574
2026-03-11T11:41:01.012387,9000,1.546929,0.6013,0.0000,0.0000,1.999358e-04,0.5057,0.8558,0.1518,0.0918,0.6833,19,25,6.172907,0.3953,5.857411,0.4167,4.421516,0.0000,2.193122,0.5224,1.0000,0.003648,0.074215,0.017108,0.000209,0.040240,0.000667
2026-03-11T11:42:44.890476,9500,1.458108,0.6392,0.0000,0.0000,1.999263e-04,0.5346,0.8390,0.1217,0.0761,0.6153,21,29,6.146462,0.4651,5.841218,0.4167,4.438345,0.0000,2.189593,0.5522,1.0000,0.005446,0.075816,0.018584,0.000235,0.043042,0.002843
2026-03-11T11:44:25.826881,10000,1.331068,0.6709,0.0000,0.0000,1.999161e-04,0.5626,0.8518,0.1886,0.0744,0.5722,20,28,6.147816,0.4419,5.839646,0.3889,4.451919,0.0000,2.151830,0.5522,1.0000,0.003441,0.064325,0.010325,0.000000,0.049175,0.004654
2026-03-11T11:46:11.574844,10500,1.259881,0.6835,0.0000,0.0000,1.999053e-04,0.5920,0.7607,0.1556,0.1545,0.5518,22,30,6.124620,0.3488,5.793208,0.3611,4.361059,0.0000,2.087401,0.5821,1.0000,0.008151,0.073894,0.017245,0.004367,0.049590,0.004051
2026-03-11T11:47:51.117346,11000,1.149458,0.6519,0.0000,0.0000,1.998939e-04,0.6197,0.7819,0.1822,0.1527,0.5098,22,31,6.119130,0.4651,5.814393,0.4167,4.378457,0.0000,2.077664,0.5075,1.0000,0.002089,0.071155,0.016787,0.003127,0.040125,0.005089
2026-03-11T11:49:31.358928,11500,1.064100,0.6835,0.0000,0.0000,1.998817e-04,0.6475,0.7305,0.1573,0.0966,0.4926,20,27,6.104825,0.3953,5.796746,0.4167,4.299883,0.0000,2.062452,0.6119,1.0000,0.004909,0.067602,0.014151,0.001714,0.041814,0.002747
2026-03-11T11:51:13.111972,12000,1.097311,0.6709,0.0000,0.0000,1.998690e-04,0.6758,0.6331,0.1847,0.0824,0.5308,20,28,6.113412,0.3953,5.780668,0.3611,4.300714,0.0000,1.956196,0.6716,1.0000,0.004568,0.060319,0.009205,0.001611,0.040847,0.002265
2026-03-11T11:52:57.252902,12500,0.994848,0.7342,0.1538,0.0015,1.998555e-04,0.7047,0.7217,0.1387,0.1331,0.5186,17,24,6.097803,0.4651,5.784113,0.3611,4.263940,0.0000,1.968948,0.5373,1.0000,0.006329,0.066795,0.013358,0.000069,0.038181,0.003731
2026-03-11T11:54:42.113804,13000,0.916797,0.7911,0.0769,0.0023,1.998414e-04,0.7338,0.7125,0.2052,0.1120,0.4018,20,28,6.086554,0.3953,5.722228,0.3611,4.263471,0.0000,1.924108,0.6567,1.0000,0.003906,0.061094,0.010841,0.003811,0.040736,0.002170
2026-03-11T11:56:24.929463,13500,0.942585,0.7278,0.0769,0.0030,1.998267e-04,0.7624,0.8488,0.1657,0.0956,0.4187,17,24,6.041840,0.3953,5.745319,0.4444,4.321389,0.0000,1.877972,0.5672,1.0000,0.003685,0.057705,0.008300,0.000010,0.042144,0.001947
