step,loss,masked_loss,unmasked_loss,em_ema,mask_prob,lr
4250,6.043476,7.838797,5.171795,0.000000,0.212450,0.000300
4300,5.882199,7.443072,5.072205,0.000972,0.214950,0.000300
4350,5.759077,7.313711,4.945022,0.004562,0.217450,0.000300
4400,5.433455,7.074876,4.630578,0.002060,0.219950,0.000300
4450,5.272873,6.887771,4.510811,0.000217,0.222450,0.000300
4500,5.440514,7.072164,4.643339,0.001134,0.224950,0.000300
4550,5.495507,6.965041,4.708315,0.000683,0.227450,0.000300
4600,5.436383,6.611738,4.743795,0.000028,0.229950,0.000300
4650,5.403888,6.658037,4.677700,0.007550,0.232450,0.000300
4700,5.160265,6.503793,4.403652,0.003572,0.234950,0.000300
4750,4.852196,5.989186,4.175719,0.003241,0.237450,0.000300
4800,4.839359,5.906597,4.173905,0.002204,0.239950,0.000300
4850,5.083368,6.211215,4.357226,0.003951,0.242450,0.000300
4900,5.471533,6.820578,4.617761,0.007923,0.244950,0.000300
4950,5.401542,6.795504,4.538337,0.006193,0.247450,0.000300
5000,5.096240,6.521399,4.274151,0.005082,0.249950,0.000300
5050,4.934040,6.374138,4.103381,0.009779,0.250000,0.000300
5100,5.047536,6.370628,4.198155,0.006230,0.250000,0.000300
5150,5.077602,6.375048,4.246515,0.006495,0.250000,0.000300
5200,5.056443,6.368211,4.235360,0.005377,0.250000,0.000300
5250,5.074261,6.432873,4.222969,0.006533,0.250000,0.000300
5300,4.870814,6.333573,4.007482,0.006964,0.250000,0.000300
5350,4.799518,6.233614,3.953338,0.010888,0.250000,0.000300
5400,4.913828,6.148760,4.087151,0.011518,0.250000,0.000300
5450,4.499262,5.604908,3.726289,0.030754,0.250000,0.000300
5500,4.176249,5.374430,3.429474,0.028363,0.250000,0.000300
5550,4.262147,5.530356,3.516166,0.029953,0.250000,0.000300
5600,4.410786,5.725059,3.651773,0.016986,0.250000,0.000300
5650,4.827540,6.169526,3.984465,0.011219,0.250000,0.000300
5700,5.130038,6.381392,4.260339,0.005318,0.250000,0.000300
5750,5.183691,6.402949,4.326311,0.006018,0.250000,0.000300
5800,4.720768,5.834882,3.945252,0.025634,0.250000,0.000300
5850,4.089520,5.101045,3.422342,0.030527,0.250000,0.000300
5900,3.984476,5.039458,3.311255,0.024609,0.250000,0.000300
5950,4.476363,5.661789,3.706606,0.014379,0.250000,0.000300
6000,4.787925,6.009355,3.953410,0.003717,0.250000,0.000300
6050,4.559107,5.677333,3.752098,0.006020,0.250000,0.000300
6100,4.269288,5.271784,3.528691,0.007923,0.250000,0.000300
6150,4.089738,5.107016,3.389974,0.023174,0.250000,0.000300
6200,4.089602,5.203475,3.385199,0.022561,0.250000,0.000300
6250,4.297031,5.473686,3.557452,0.022768,0.250000,0.000300
6300,4.599806,5.811260,3.814230,0.014150,0.250000,0.000300
6350,4.466327,5.589462,3.741335,0.038732,0.250000,0.000300
6400,3.920804,5.003086,3.294244,0.053727,0.250000,0.000300
6450,4.139812,5.331224,3.410991,0.050745,0.250000,0.000300
6500,4.413530,5.593539,3.608450,0.059251,0.250000,0.000300
6550,4.173083,5.320652,3.453702,0.018825,0.250000,0.000300
6600,4.449707,5.696207,3.691249,0.025710,0.250000,0.000300
6650,4.518723,5.792406,3.713751,0.043675,0.250000,0.000300
6700,4.317967,5.428562,3.582276,0.033964,0.250000,0.000300
6750,4.200808,5.175471,3.529314,0.039897,0.250000,0.000300
6800,4.108724,5.062439,3.466551,0.022931,0.250000,0.000300
6850,4.161295,5.094246,3.528639,0.031918,0.250000,0.000300
6900,4.096737,5.051468,3.467318,0.043809,0.250000,0.000300
6950,3.768642,4.537541,3.271124,0.028450,0.250000,0.000300
7000,3.544326,4.404503,3.058620,0.040865,0.250000,0.000300
7050,3.924204,4.956573,3.304528,0.017654,0.250000,0.000300
7100,4.381907,5.298068,3.728619,0.020106,0.250000,0.000300
7150,4.283786,5.227279,3.619524,0.044374,0.250000,0.000300
7200,3.813291,4.844467,3.161762,0.067787,0.250000,0.000300
7250,3.511060,4.580173,2.882861,0.061045,0.250000,0.000300
7300,3.669312,4.438346,3.141426,0.039941,0.250000,0.000300
7350,3.693565,4.361098,3.212279,0.071598,0.250000,0.000300
7400,3.602653,4.472105,3.057263,0.053168,0.250000,0.000300
7450,3.744302,4.589714,3.158830,0.018122,0.250000,0.000300
7500,3.386386,4.044170,2.883037,0.040271,0.250000,0.000300
7550,2.831924,3.332632,2.446992,0.065214,0.250000,0.000300
7600,3.181786,3.888545,2.687197,0.025706,0.250000,0.000300
7650,3.617054,4.590710,2.980382,0.064334,0.250000,0.000300
7700,3.233952,4.129753,2.674235,0.102954,0.250000,0.000300
7750,3.132766,4.057101,2.576713,0.066710,0.250000,0.000300
7800,3.383876,4.410511,2.761633,0.042306,0.250000,0.000300
7850,3.517453,4.489859,2.911286,0.064328,0.250000,0.000300
7900,3.476068,4.348821,2.906805,0.099775,0.250000,0.000300
7950,3.475808,4.325989,2.907959,0.055218,0.250000,0.000300
8000,3.724205,4.604781,3.120524,0.059835,0.250000,0.000300
8050,3.720068,4.570919,3.110469,0.052153,0.250000,0.000300
8100,3.602728,4.509763,3.002430,0.070261,0.250000,0.000300
8150,3.791500,4.732927,3.182721,0.046303,0.250000,0.000300
8200,4.015308,4.941416,3.388202,0.035572,0.250000,0.000300
8250,3.845026,4.709595,3.264888,0.067325,0.250000,0.000300
8300,3.501320,4.389902,2.928082,0.109569,0.250000,0.000300
8350,3.276693,4.178542,2.704814,0.083771,0.250000,0.000300
8400,2.984208,3.731609,2.491579,0.240679,0.250000,0.000300
8450,2.449788,3.106873,2.028791,0.305136,0.250000,0.000300
8500,2.496449,3.241972,2.057219,0.105023,0.250000,0.000300
8550,3.165908,4.100943,2.635107,0.075448,0.250000,0.000300
8600,3.461325,4.472289,2.858472,0.036152,0.250000,0.000300
8650,3.129051,4.120636,2.533671,0.142402,0.250000,0.000300
8700,2.720576,3.666841,2.182561,0.187299,0.250000,0.000300
8750,2.691690,3.568959,2.186826,0.146108,0.250000,0.000300
8800,2.972219,3.698225,2.511575,0.090897,0.250000,0.000300
8850,3.185860,3.853770,2.742122,0.105101,0.250000,0.000300
8900,3.316709,4.104852,2.820030,0.076203,0.250000,0.000300
8950,3.291609,4.056835,2.799419,0.110498,0.250000,0.000300
9000,3.310111,4.095574,2.795759,0.049931,0.250000,0.000300
9050,3.398209,4.238682,2.856861,0.050720,0.250000,0.000300
9100,3.228686,4.016703,2.729713,0.107810,0.250000,0.000300
9150,2.822022,3.552962,2.356391,0.125667,0.250000,0.000300
9200,2.563202,3.258486,2.117305,0.081273,0.250000,0.000300
9250,2.816431,3.603001,2.330366,0.090387,0.250000,0.000300
9300,2.872245,3.669010,2.392298,0.102935,0.250000,0.000300
9350,2.750501,3.466909,2.298680,0.088021,0.250000,0.000300
9400,2.853820,3.513832,2.407694,0.067884,0.250000,0.000300
9450,2.781455,3.483407,2.346065,0.116937,0.250000,0.000300
9500,2.593240,3.352976,2.154395,0.101347,0.250000,0.000300
9550,2.915408,3.632995,2.445454,0.062449,0.250000,0.000300
9600,3.085528,3.806395,2.579407,0.103799,0.250000,0.000300
9650,2.962221,3.687066,2.469190,0.122511,0.250000,0.000300
