timestamp,step,recon_loss,pos_sim,neg_sim,wo_sim,eff_rank,lr,elapsed_hours
2026-03-08T12:47:32.492003,500,12.101238,0.9392,0.5862,0.8141,85,7.500000e-05,0.0840
2026-03-08T12:52:28.829550,1000,5.933074,0.9285,0.6630,0.7963,85,1.500000e-04,0.1663
2026-03-08T12:57:29.810967,1500,5.123436,0.9367,0.7767,0.7977,83,2.250000e-04,0.2499
2026-03-08T13:02:30.884604,2000,5.153015,0.9583,0.7587,0.8229,83,3.000000e-04,0.3336
2026-03-08T13:07:31.319416,2500,4.828911,0.9555,0.7688,0.8065,84,2.999953e-04,0.4170
2026-03-08T13:12:23.332779,3000,4.800508,0.9536,0.7934,0.8202,82,2.999812e-04,0.4981
2026-03-08T13:17:14.583684,3500,4.929704,0.9571,0.8952,0.8704,83,2.999576e-04,0.5790
2026-03-08T13:22:07.779391,4000,4.903928,0.9406,0.9158,0.8404,83,2.999246e-04,0.6605
2026-03-08T13:27:01.050719,4500,4.884636,0.9582,0.7300,0.8006,83,2.998821e-04,0.7420
2026-03-08T13:31:53.201578,5000,4.851851,0.9295,0.8162,0.7868,84,2.998302e-04,0.8231
2026-03-08T13:36:50.600033,5500,4.896588,0.9521,0.8809,0.8514,82,2.997689e-04,0.9057
2026-03-08T13:41:54.704753,6000,4.774421,0.9378,0.8371,0.8410,81,2.996982e-04,0.9902
2026-03-08T13:46:53.009668,6500,4.968404,0.9550,0.7749,0.8138,81,2.996180e-04,1.0731
