step,recon_loss,contrastive_loss,variance_loss,covariance_loss,em_ema,contrastive_weight,lr
3700,4.419907,0.179894,0.972215,0.000038,0.001369,0.073980,0.000300
3750,4.372732,0.194249,0.972504,0.000031,0.002497,0.074980,0.000300
3800,4.308434,0.206524,0.973019,0.000026,0.001660,0.075980,0.000300
3850,4.260521,0.242085,0.973184,0.000024,0.001828,0.076980,0.000300
3900,4.246857,0.256469,0.973240,0.000023,0.002762,0.077980,0.000300
3950,4.208767,0.252568,0.973150,0.000024,0.002215,0.078980,0.000300
4000,4.566683,0.310909,0.973408,0.000023,0.001976,0.079980,0.000300
4050,6.258879,0.288354,0.973986,0.000023,0.006122,0.080980,0.000300
4100,7.539869,0.169365,0.974036,0.000024,0.001428,0.081980,0.000300
4150,6.996816,0.174180,0.974390,0.000024,0.000058,0.082980,0.000300
4200,6.839635,0.157995,0.974710,0.000023,0.000002,0.083980,0.000300
4250,6.880385,0.127901,0.974668,0.000022,0.000176,0.084980,0.000300
4300,6.957397,0.120847,0.974664,0.000022,0.000007,0.085980,0.000300
4350,7.130211,0.184956,0.974563,0.000020,0.000000,0.086980,0.000300
4400,7.105078,0.191255,0.973948,0.000022,0.002356,0.087980,0.000300
4450,7.066668,0.111421,0.973034,0.000045,0.000096,0.088980,0.000300
4500,7.028678,0.081415,0.972325,0.000066,0.000004,0.089980,0.000300
4550,7.156212,0.038535,0.972058,0.000063,0.000115,0.090980,0.000300
4600,6.968550,0.042434,0.972247,0.000057,0.004585,0.091980,0.000300
4650,7.025767,0.050621,0.972837,0.000047,0.000187,0.092980,0.000300
4700,7.139879,0.048767,0.973212,0.000038,0.000008,0.093980,0.000300
4750,7.102387,0.044787,0.973372,0.000031,0.000000,0.094980,0.000300
4800,7.312956,0.062195,0.973858,0.000026,0.000000,0.095980,0.000300
4850,7.277165,0.084856,0.974343,0.000025,0.000000,0.096980,0.000300
4900,7.196764,0.081475,0.974472,0.000024,0.000000,0.097980,0.000300
4950,7.044802,0.068972,0.974202,0.000023,0.000000,0.098980,0.000300
5000,6.798076,0.051322,0.973711,0.000024,0.000000,0.099980,0.000300
5050,7.005646,0.043894,0.973850,0.000025,0.000000,0.100000,0.000300
5100,6.787513,0.094543,0.974540,0.000029,0.000912,0.100000,0.000300
5150,6.800265,0.102136,0.973879,0.000050,0.000277,0.100000,0.000300
5200,7.040884,0.053231,0.972712,0.000062,0.000011,0.100000,0.000300
5250,6.889050,0.035699,0.972229,0.000057,0.000585,0.100000,0.000300
